Latitude,Max Temp,Humidity,Cloudiness,Wind Speed
58.97,285.37,100,98,4.6
-37.83,280.15,100,8,2.1
-31.95,280.15,100,90,3.1
6.8,298.15,100,75,1.0
43.32,292.15,100,75,1.5
69.49,284.15,100,90,6.0
37.57,299.15,100,90,2.61
-38.18,284.26,100,40,3.1
66.0,282.15,100,90,1.0
66.42,282.15,100,90,1.0
5.73,289.67,100,49,0.86
-8.19,298.15,100,20,1.5
63.84,284.15,100,90,7.7
46.62,291.48,100,12,1.0
-33.65,284.26,99,36,7.04
25.52,296.89,99,100,2.26
-32.83,284.26,99,0,0.15
2.93,291.94,98,100,1.74
10.04,294.25,97,77,3.08
53.13,286.03,97,100,1.85
25.38,297.02,97,100,0.57
6.07,293.05,97,57,1.17
69.3,276.38,96,100,2.62
58.86,286.16,96,100,4.78
10.28,293.74,96,100,1.68
58.76,284.8,96,100,4.74
64.89,284.31,96,99,6.29
43.27,290.93,96,98,1.34
4.57,292.82,96,93,0.45
3.52,293.78,96,100,1.05
13.7,293.07,96,100,2.36
6.73,292.82,96,18,1.31
7.27,293.73,96,59,1.47
63.19,284.73,95,100,5.96
-13.63,287.7,95,55,1.85
-32.03,288.71,95,56,4.27
3.87,296.6,95,97,0.43
13.35,297.55,95,100,2.56
42.08,296.15,94,75,2.1
3.87,294.67,94,100,0.88
-5.2,295.15,94,25,2.1
16.76,299.15,94,75,2.6
73.51,279.41,94,34,7.64
-3.01,297.15,94,40,1.5
1.55,298.15,94,20,1.0
53.47,287.16,94,73,1.8
11.75,296.63,94,100,1.38
19.42,297.74,94,100,1.24
14.75,298.15,94,75,1.0
42.9,293.47,94,100,2.28
24.19,291.41,94,100,1.26
-33.87,284.15,93,75,7.7
-38.0,283.15,93,90,5.1
-24.87,290.15,93,75,5.1
-42.78,277.59,93,2,0.98
62.15,280.52,93,81,0.42
62.16,284.15,93,90,3.1
60.14,278.98,93,99,2.73
54.67,292.59,93,70,3.0
-29.68,291.15,93,0,3.1
56.89,291.15,93,4,2.1
-34.65,287.15,93,90,4.1
17.47,295.43,93,100,3.73
-38.55,282.04,93,100,2.24
57.51,290.33,93,90,3.47
62.23,284.15,93,98,3.1
-33.93,287.59,93,40,3.6
67.68,281.38,93,97,2.43
65.61,279.15,93,100,2.6
58.16,289.15,93,52,1.24
55.75,290.93,93,9,1.0
63.73,283.15,93,29,2.6
-54.8,275.15,92,90,7.7
53.88,289.81,92,0,1.75
68.15,282.87,92,100,6.86
13.47,293.93,92,99,3.03
12.79,297.38,92,100,3.8
58.34,281.09,92,0,2.41
56.73,285.58,92,0,0.38
70.98,283.77,92,8,7.37
0.05,295.15,91,93,1.92
61.99,279.27,91,64,3.98
70.86,283.38,91,100,8.64
66.56,281.21,91,100,5.46
64.92,285.93,90,96,6.97
10.37,295.78,90,100,3.0
15.25,294.57,90,100,5.61
-0.74,293.15,90,95,0.89
46.54,290.02,90,100,2.11
32.44,295.37,90,1,0.51
12.57,298.62,90,100,2.02
8.32,293.74,90,90,1.19
22.29,300.44,90,100,3.4
61.01,289.65,90,31,3.21
23.2,297.81,90,100,0.46
61.73,287.46,90,62,3.63
15.78,297.96,90,100,7.73
-4.58,289.78,89,4,7.6
57.15,283.03,89,0,1.98
52.8,289.82,89,4,0.45
-2.73,287.16,89,53,3.43
32.3,294.75,89,1,5.5
-38.6,284.26,88,0,3.76
18.98,301.15,88,75,4.6
-3.8,297.4,88,41,2.52
-9.67,295.15,88,40,1.0
44.88,296.48,88,91,2.1
4.93,300.15,88,37,1.5
41.28,295.15,88,1,2.6
22.35,298.66,88,99,1.44
26.1,297.3,88,87,2.02
69.38,277.01,88,100,6.51
70.37,283.96,88,100,10.17
5.41,301.15,88,20,1.5
48.71,291.15,88,5,0.5
18.22,293.15,88,71,2.1
-38.88,282.49,88,10,4.12
41.03,298.15,88,75,2.1
40.84,296.48,88,0,0.5
22.2,300.15,88,75,2.1
-6.34,299.15,88,20,1.5
42.97,294.48,88,100,2.21
-6.13,295.47,88,18,3.02
-33.23,291.65,88,89,3.27
68.75,279.86,88,100,3.95
60.4,285.15,87,32,2.6
-46.13,284.26,87,93,7.6
55.34,288.15,87,90,5.1
5.38,298.99,87,24,4.45
-29.95,285.15,87,100,0.5
68.44,283.15,87,84,4.1
-9.01,296.01,87,12,5.82
-46.6,284.26,87,91,7.6
49.2,289.82,87,100,2.68
-19.39,292.36,87,0,0.96
23.04,301.15,87,100,4.45
57.05,286.15,87,90,9.3
-34.53,285.15,87,16,5.1
-46.19,284.26,87,100,7.6
69.45,282.15,87,90,8.7
-22.43,297.14,87,45,4.15
71.0,284.15,87,75,11.3
55.3,284.15,87,90,2.6
-33.01,283.15,87,12,1.5
62.58,283.71,87,0,2.24
71.29,279.15,87,90,4.6
68.82,276.15,86,100,0.5
69.22,276.15,86,100,0.5
61.05,288.15,86,0,0.89
-1.2,298.4,86,5,2.92
-8.9,296.36,86,7,5.98
-12.58,292.33,86,62,1.37
7.32,296.26,86,99,3.29
-35.72,281.48,86,99,2.24
5.95,298.76,86,88,5.01
25.85,300.88,86,100,3.3
70.47,278.15,86,90,8.7
25.21,302.09,86,2,3.26
-39.81,278.56,86,49,2.67
51.15,289.29,85,6,1.65
-0.61,299.5,85,93,5.3
-15.2,288.26,85,0,1.87
51.5,286.32,85,0,2.8
10.93,299.31,85,87,3.09
-10.58,288.04,85,38,0.88
-10.41,295.99,85,8,5.11
65.98,281.29,85,100,1.45
16.98,299.57,85,100,5.05
-22.97,294.81,85,5,8.48
50.68,286.3,85,59,1.25
-10.62,299.34,85,55,3.8
-33.7,289.49,84,95,3.37
8.01,300.37,84,100,0.89
-10.07,288.73,84,8,3.13
28.37,303.15,84,75,12.9
15.4,299.34,84,100,5.16
69.7,277.24,84,99,3.43
-7.84,288.86,84,41,2.28
52.42,289.97,84,99,0.84
-14.54,290.4,84,0,2.96
35.73,304.26,84,75,1.0
26.18,303.15,84,75,9.3
20.71,300.61,84,83,5.7
11.28,299.7,84,100,8.5
35.13,304.26,84,75,2.1
32.17,304.26,84,7,3.13
-0.95,295.15,83,20,5.1
38.89,301.48,83,1,3.6
-20.33,295.37,83,75,0.5
