Latitude,Max Temp,Humidity,Cloudiness,Wind Speed
41.54,63.0,100,75,10.29
63.84,51.8,100,90,20.8
62.23,53.6,100,37,6.93
-3.4,52.75,100,32,3.09
50.2,62.01,100,20,8.05
41.37,73.0,100,1,3.8
66.0,51.8,100,90,8.95
-6.98,71.6,100,75,6.93
5.88,62.11,100,99,4.25
46.95,59.0,100,11,1.12
-41.87,42.01,100,75,4.7
69.49,53.6,100,75,2.24
4.93,77.0,100,52,8.48
46.62,60.01,100,40,3.36
43.21,66.2,100,75,5.82
-18.12,50.88,99,13,2.66
4.25,72.82,97,100,2.08
63.44,52.48,97,100,16.49
9.18,68.81,97,100,6.35
0.52,70.47,97,68,1.68
-0.74,66.0,97,86,3.0
13.59,73.0,97,100,6.38
51.03,63.0,97,38,1.01
7.88,70.7,97,100,2.26
47.17,61.88,96,8,5.77
64.89,51.35,96,100,12.5
61.01,54.64,95,100,6.44
69.7,35.89,95,100,10.87
10.15,75.02,95,100,1.59
64.25,52.74,95,97,9.57
44.97,56.17,95,27,3.74
66.56,49.71,95,100,6.98
9.45,70.63,95,98,1.99
1.44,63.54,95,1,2.82
5.4,66.29,95,40,0.96
53.88,58.98,95,99,6.64
39.48,68.0,94,90,5.82
39.45,69.8,94,90,1.95
6.8,80.6,94,40,11.41
6.12,80.6,94,40,11.41
41.75,71.01,94,1,6.93
54.91,68.0,94,1,13.87
25.52,77.86,94,100,5.28
28.04,73.4,94,75,3.02
15.12,78.8,94,75,2.24
6.33,80.6,94,20,4.7
41.28,73.4,94,90,9.17
22.76,78.8,94,75,2.24
-8.84,68.0,94,20,2.24
9.97,82.4,94,75,2.24
-12.97,71.6,94,75,5.82
58.66,59.0,94,86,2.8
66.83,54.34,94,100,7.07
34.88,84.0,94,75,5.82
32.35,73.4,94,90,1.99
67.5,47.53,94,100,10.94
58.5,54.52,94,89,5.99
32.35,84.2,94,75,4.7
33.21,78.8,94,1,3.83
-8.58,68.0,94,20,2.24
53.55,66.0,94,100,5.99
65.61,39.2,93,100,12.75
-33.01,51.8,93,66,10.29
-1.83,74.26,93,63,2.77
51.8,64.0,93,12,6.93
70.47,39.2,93,90,13.87
62.58,59.0,93,85,3.36
-34.53,46.4,93,7,5.82
-24.7,57.67,93,15,2.71
-34.93,54.0,93,75,11.41
11.93,74.19,93,100,5.66
3.88,76.03,93,86,2.06
51.23,61.2,93,0,6.13
36.43,73.99,93,40,13.87
68.61,48.2,93,40,4.47
70.37,48.2,93,75,8.05
53.17,62.6,93,90,8.95
8.08,76.15,93,100,4.92
-2.23,64.4,93,75,9.17
52.63,59.67,92,12,4.18
14.3,75.15,92,100,4.23
46.43,57.99,92,0,2.8
7.08,71.47,92,68,1.92
12.93,69.21,92,100,7.4
7.77,66.25,92,99,2.68
-25.17,59.11,92,14,3.33
21.28,78.94,92,16,10.56
8.89,67.71,91,97,7.83
6.88,70.81,91,100,5.28
-15.2,60.31,90,29,4.41
-13.86,64.78,90,32,1.61
9.54,76.86,90,100,13.31
28.17,75.33,90,100,0.94
18.0,75.09,90,100,9.35
-32.03,57.0,90,97,5.99
41.25,60.08,90,0,3.58
64.9,47.03,90,42,6.38
39.14,55.99,90,0,1.14
59.6,50.7,90,100,11.65
33.73,86.0,89,75,8.05
13.98,75.0,89,97,1.99
-53.15,32.0,89,100,9.17
68.05,49.6,89,100,7.85
40.27,75.0,89,52,2.89
-17.71,68.88,89,17,5.23
69.38,49.1,89,100,13.91
22.04,89.6,89,40,12.21
21.93,74.82,89,0,7.02
38.28,78.01,88,5,4.7
13.35,78.8,88,90,6.93
44.63,70.61,88,100,3.31
39.89,75.2,88,7,4.7
37.57,78.8,88,90,6.91
53.42,60.01,88,0,6.62
-20.33,68.0,88,75,2.24
38.24,78.01,88,5,4.7
40.16,64.99,88,94,0.49
14.35,78.8,88,20,6.93
51.38,71.01,88,100,1.01
38.6,78.01,88,1,4.09
62.46,64.4,88,75,3.36
55.25,57.25,88,100,3.04
13.22,80.6,88,40,14.99
17.02,78.8,88,90,5.82
20.93,71.6,88,1,17.22
40.6,75.0,88,1,1.54
40.83,78.01,88,1,3.94
-28.24,68.0,88,0,8.05
42.6,77.0,88,1,8.05
-24.87,66.2,88,90,9.17
70.86,48.2,87,75,10.29
-20.34,64.99,87,20,8.05
-8.14,77.18,87,100,2.01
71.04,48.2,87,75,10.29
56.45,56.17,87,100,17.11
63.73,57.2,87,40,10.29
-1.2,76.69,87,3,5.01
-35.17,59.49,87,86,11.95
-20.52,57.2,87,20,8.05
-33.93,55.0,87,40,18.34
66.5,50.0,87,41,6.93
78.22,46.4,87,75,6.93
64.38,51.8,87,90,11.18
-29.95,51.8,87,70,4.7
55.74,59.0,87,75,5.82
-20.41,57.2,87,20,8.05
70.98,48.2,87,75,10.29
73.51,37.4,87,100,21.79
71.29,42.8,87,90,3.36
-13.7,59.0,87,3,4.7
63.75,41.0,86,75,2.24
-4.5,63.18,86,74,2.55
4.87,74.44,86,100,9.31
-8.9,72.75,86,5,10.22
18.32,74.86,86,100,4.7
-54.8,30.2,86,40,6.93
6.3,75.87,86,100,10.98
53.94,64.09,86,100,3.18
5.38,78.6,85,14,8.7
19.87,76.39,85,100,7.63
-11.1,58.98,85,17,9.08
3.52,62.62,85,47,8.41
4.38,74.25,85,100,10.16
24.92,81.77,85,100,10.18
50.68,62.44,85,100,4.25
